,Date,Topic,Location,People,Category
23,"Mon, Oct 22, 20183:00pm to 5:00pm",Storytelling and Reading (STAR) with Miss. NancyCome meet our newest STAR...,Pacoima Branch Library,Kids,STAR
24,"Mon, Oct 22, 20183:00pm to 3:30pm",LAPD Read AlongShare the joy of reading with a Los Angeles Police Department (LAPD) officer....,Eagle Rock Branch Library,"Kids, Pre-School","Family Activity, Storytime"
0,"Mon, Oct 22, 20183:00pm to 6:00pm",Student ZoneStudent Zone computers are set aside for students grades K-12 to use for internet...,Encino - Tarzana Branch Library,"Kids, Teens",Student Zone
1,"Mon, Oct 22, 20183:30pm to 5:00pm",English ConversationLearners learn and practice English conversation for everyday use....,Central Library,"Adults, Spanish Speakers","Adult Literacy, Class"
2,"Mon, Oct 22, 20183:30pm to 5:30pm",STARCome and meet our STAR volunteer reader Evette. Read stories together and learn how to earn a free book.,Granada Hills Branch Library,Kids,STAR
3,"Mon, Oct 22, 20183:30pm to 5:30pm","Star Reader SarahCome read and be read to by our STAR Reader Sarah, Monday's from 3:30 to 5:30.",Sun Valley Branch Library,Kids,STAR
4,"Mon, Oct 22, 20183:30pm to 5:00pm",Children's Movie: Garfield's Halloween AdventureGarfield...,Ascot Branch Library,Kids,Film Screening
5,"Mon, Oct 22, 20183:30pm to 5:30pm","Fun Films in October: OverboardAfter being unjustly fired by a spoiled heir, a...",Granada Hills Branch Library,Adults,Film Screening
6,"Mon, Oct 22, 20183:30pm to 6:30pm",Student ZoneDo you need help with homework? Students in grades K-12 can visit our Student Zone...,Lincoln Heights Branch Library,Adults,Computer Class
7,"Mon, Oct 22, 20184:00pm to 5:00pm",Teens Only Are you in middle school or high school and looking for a place to hang out with your...,Memorial Branch Library,Teens,"Arts and Crafts, Club, Fun & Gaming, Future Ready Teens"
8,"Mon, Oct 22, 20184:00pm to 5:00pm",Master Builder MondaysJoin us on Mondays for some Lego® fun. We’ll supply all the building...,Will & Ariel Durant Branch Library,"Kids, Pre-School, Teens","Arts and Crafts, Fun & Gaming, Science Fun"
9,"Mon, Oct 22, 20184:00pm to 5:00pm","Adult CrafternoonGet crafty with us! Join us to connect, create, construct and craft. Enjoy...",Lake View Terrace Branch Library,"Adults, Seniors",Arts and Crafts
10,"Mon, Oct 22, 20184:00pm to 5:00pm",Teen Anime ClubWest Valley's Young Adult Librarian will be hosting a weekly Anime Club! We will be...,West Valley Regional Branch Library,Teens,"Club, Film Screening"
11,"Mon, Oct 22, 20184:00pm",Free LACMA Art ClassBring the WHOLE family to learn about art and create your very own...,Junipero Serra Branch Library,"Adults, Kids, Pre-School, Teens","Arts and Crafts, Class, En Español, Family Activity"
12,"Mon, Oct 22, 20184:00pm to 7:00pm","Student ZoneIn our Student Zone, computers are set aside for students grades K-12 to use for...",Pacoima Branch Library,"Kids, Teens",Student Zone
13,"Mon, Oct 22, 20184:00pm to 5:00pm",Project Art: Free Art Classes for Kids Ages 4-7Free art classes for...,Hyde Park Miriam Matthews Branch Library,Kids,Arts and Crafts
14,"Mon, Oct 22, 20184:00pm",Leyendo con LA Plaza: A Community Library ProgramWe are excited...,Arroyo Seco Regional Library,"Adults, Kids, Pre-School",Family Activity
15,"Mon, Oct 22, 20184:00pm to 5:00pm",Empathy & Heroism Book ClubLearn about the grant we’ve received to host a new...,Central Library,Teens,Book Club
16,"Mon, Oct 22, 20184:00pm to 5:30pm",ESL English Conversation ClassJoin our ESL English Conversation Class to practice...,Felipe de Neve Branch Library,Adults,Adult Literacy
17,"Mon, Oct 22, 20184:00pm",Talk to a BankerGot financial questions?Come talk to a representative from Broadway Federal Bank and...,Vermont Square Branch Library,"Adults, Seniors, Spanish Speakers, Teens",Money Matters
18,"Mon, Oct 22, 20184:00pm to 5:00pm","Kid's Build-It ClubCome collaborate, build and make friends at our Build-It Club, where...",Pacoima Branch Library,Kids,Science Fun
19,"Mon, Oct 22, 20184:00pm","Kid's Pop-Up Art CartJoin us in the children's area to learn about artists, art concepts...",Pacoima Branch Library,Kids,Arts and Crafts
20,"Mon, Oct 22, 20184:00pm",Teen Game DayChallenge your best friend with a ping-pong match or break out a game of Exploding...,Mark Twain Branch Library,Teens,Future Ready Teens
21,"Mon, Oct 22, 20184:00pm",Wilmington Library Volunteer Training WorkshopDo you want to be a...,Wilmington Branch Library,"Adults, Teens","Volunteer Engagement, Workshop"
22,"Mon, Oct 22, 20184:00pm",Literary Pumpkin DecoratingDecorate a pumpkin based on your favorite literary character!,Washington Irving Branch Library,Teens,Arts and Crafts
23,"Mon, Oct 22, 20184:00pm to 7:00pm",CalArts Stop Motion Animation WorkshopThis free class will teach a variety...,Pacoima Branch Library,"Kids, Teens","Class, Workshop"
24,"Mon, Oct 22, 20184:30pm",Video Games @ the LibraryPlay Wii video games at the library.,El Sereno Branch Library,Teens,Fun & Gaming
0,"Mon, Oct 22, 20185:00pm to 6:00pm",Project Art: Free Art Classes for Kids Ages 13-17Free art classes for...,Hyde Park Miriam Matthews Branch Library,Teens,Arts and Crafts
1,"Mon, Oct 22, 20185:00pm to 8:00pm",Health Coverage ClinicAre you uninsured and need health or dental coverage? Do you want...,Chinatown Branch Library,"Adults, Seniors",Covered California
2,"Mon, Oct 22, 20185:00pm to 7:00pm","Walk-In TutoringFree 15-20 minute tutoring sessions for adults. Tutors can help with reading, writing...",Lincoln Heights Branch Library,Adults,Adult Literacy
3,"Mon, Oct 22, 20185:00pm",Game DayBring your friends and enjoy an afternoon of video games and board games.,Malabar Branch Library,Teens,Fun & Gaming
4,"Mon, Oct 22, 20185:00pm to 7:00pm",Azure Lorica Presents Geek Movie NightsJoin us for Geek Movie Night to...,Sunland - Tujunga Branch Library,"Adults, Seniors, Teens",Film Screening
5,"Mon, Oct 22, 20185:00pm",Family Night Storytime & CraftJoin us for our fresh and updated family night...,North Hollywood Amelia Earhart Regional Library,Kids,"Arts and Crafts, Storytime"
6,"Mon, Oct 22, 20185:30pm",Clases de inglés básico / Basic English Classes¡Nuevo...,Robert Louis Stevenson Branch Library,"Adults, Seniors, Spanish Speakers",Class
7,"Mon, Oct 22, 20185:30pm to 7:30pm",Free Citizenship and Financial Literacy...,Harbor City - Harbor Gateway Branch Library,"Adults, Spanish Speakers",Citizenship
8,"Mon, Oct 22, 20186:00pm to 7:00pm",ESL Conversation ClassAll ESL adults welcome. Practice your English...,Echo Park Branch Library,"Adults, Seniors","Adult Literacy, Class"
9,"Mon, Oct 22, 20186:00pm to 7:30pm",English Conversation Classes / Clases de...,Cypress Park Branch Library,Adults,"Adult Literacy, Class"
10,"Mon, Oct 22, 20186:00pm","Baby's Sleepy Story TimeNeed a nice, calming activity with your baby before bedtime...",Wilshire Branch Library,Pre-School,Storytime
11,"Mon, Oct 22, 20186:00pm to 7:30pm",Monthly Craft Night for Adults All adults are welcome to join us every month for craft...,Studio City Branch Library,"Adults, Seniors",Arts and Crafts
12,"Mon, Oct 22, 20186:00pm to 7:00pm",ZUMBA! with CherylJoin us on Monday nights! Get a great workout with a fun and easy cardio party with...,Mid-Valley Regional Library,"Adults, Seniors, Teens",Health
13,"Mon, Oct 22, 20186:00pm to 7:00pm","Wreath Making Workshop with Makers Mess | LA MadeIn this workshop,...",Mar Vista Branch Library,"Adults, Kids, Seniors, Teens","Arts and Crafts, LA Made"
14,"Mon, Oct 22, 20186:00pm","Meditation: Connecting Body, Mind, and SpiritMedical research has uncovered...",Westwood Branch Library,"Adults, Seniors",Health
15,"Mon, Oct 22, 20186:00pm to 7:30pm","Conchas y cafe - Adult Writing ClassConchas y Café, a program offered by the...",Vernon - Leon H. Washington Jr. Memorial Branch Library,"Adults, Seniors, Spanish Speakers",Class
16,"Mon, Oct 22, 20186:00pm to 7:00pm","STAR ReaderJoin us to read with our wonderful STAR Reader, Ms. Nicole. Ask her how you can earn a...",Lincoln Heights Branch Library,Kids,STAR
17,"Mon, Oct 22, 20186:00pm to 8:00pm",Radical Kinship: Celebrating 30 Years of Homeboy Industries...,Central Library,Adults,Discussion
18,"Mon, Oct 22, 20186:00pm to 7:30pm",English Conversation ClassLearn and practice English conversation for everyday use.,Palms - Rancho Park Branch Library,Adults,Adult Literacy
19,"Mon, Oct 22, 20186:15pm",Free Yoga Class Come join our FREE yoga class every Monday night. No pre-registration is required....,Hyde Park Miriam Matthews Branch Library,"Adults, Seniors, Teens",Health
20,"Mon, Oct 22, 20186:15pm to 7:45pm",English Conversation ClassAre you learning English and need some practice speaking?...,El Sereno Branch Library,Adults,Adult Literacy
